model,scenario,input,dataset,turn,source_log,total_environments,real_failures,degenerate_empty_input,parse_fail,empty_graph_total,other_error,real_error_rate_pct
deepseek-v4-flash,s5,aml,confOf-ekaw,turn1,article_scenarios/outputs/turn1/s5/confOf-ekaw/confOf-ekaw_aml_15000c_p1000_deepseek_deepseek-v4-flash/run.log,16,0,0,0,0,0,0.0
deepseek-v4-flash,s5,aml,confOf-ekaw,turn2,article_scenarios/outputs/turn2/s5/confOf-ekaw/confOf-ekaw_aml_15000c_p1000_deepseek_deepseek-v4-flash/run.log,16,2,0,2,0,0,12.5
deepseek-v4-flash,s5,aml,confOf-ekaw,turn3,article_scenarios/outputs/turn3/s5/confOf-ekaw/confOf-ekaw_aml_15000c_p1000_deepseek_deepseek-v4-flash/run.log,16,0,0,0,0,0,0.0
deepseek-v4-flash,s5,aml,confOf-ekaw,turn4,article_scenarios/outputs/turn4/s5/confOf-ekaw/confOf-ekaw_aml_15000c_p1000_deepseek_deepseek-v4-flash/run.log,16,0,0,0,0,0,0.0
deepseek-v4-flash,s5,aml,confOf-ekaw,turn5,article_scenarios/outputs/turn5/s5/confOf-ekaw/confOf-ekaw_aml_15000c_p1000_deepseek_deepseek-v4-flash/run.log,16,1,0,1,0,0,6.25
deepseek-v4-flash,s5,aml,human-mouse,turn1,article_scenarios/outputs/turn1/s5/human-mouse/human-mouse_aml_15000c_p1000_deepseek_deepseek-v4-flash/run.log,1396,8,0,7,1,0,0.57
deepseek-v4-flash,s5,aml,human-mouse,turn2,article_scenarios/outputs/turn2/s5/human-mouse/human-mouse_aml_15000c_p1000_deepseek_deepseek-v4-flash/run.log,1396,5,0,4,1,0,0.36
deepseek-v4-flash,s5,aml,human-mouse,turn3,article_scenarios/outputs/turn3/s5/human-mouse/human-mouse_aml_15000c_p1000_deepseek_deepseek-v4-flash/run.log,1396,9,0,9,0,0,0.64
deepseek-v4-flash,s5,aml,human-mouse,turn4,article_scenarios/outputs/turn4/s5/human-mouse/human-mouse_aml_15000c_p1000_deepseek_deepseek-v4-flash/run.log,1396,6,0,4,2,0,0.43
deepseek-v4-flash,s5,aml,human-mouse,turn5,article_scenarios/outputs/turn5/s5/human-mouse/human-mouse_aml_15000c_p1000_deepseek_deepseek-v4-flash/run.log,1396,4,0,2,2,0,0.29
deepseek-v4-flash,s5,aml,swo-acm,turn1,article_scenarios/outputs/turn1/s5/swo-acm/swo-acm_aml_15000c_p1000_deepseek_deepseek-v4-flash/run.log,43,4,0,4,0,0,9.3
deepseek-v4-flash,s5,aml,swo-acm,turn2,article_scenarios/outputs/turn2/s5/swo-acm/swo-acm_aml_15000c_p1000_deepseek_deepseek-v4-flash/run.log,43,1,0,1,0,0,2.33
deepseek-v4-flash,s5,aml,swo-acm,turn3,article_scenarios/outputs/turn3/s5/swo-acm/swo-acm_aml_15000c_p1000_deepseek_deepseek-v4-flash/run.log,43,3,0,3,0,0,6.98
deepseek-v4-flash,s5,aml,swo-acm,turn4,article_scenarios/outputs/turn4/s5/swo-acm/swo-acm_aml_15000c_p1000_deepseek_deepseek-v4-flash/run.log,43,0,0,0,0,0,0.0
deepseek-v4-flash,s5,aml,swo-acm,turn5,article_scenarios/outputs/turn5/s5/swo-acm/swo-acm_aml_15000c_p1000_deepseek_deepseek-v4-flash/run.log,43,2,0,2,0,0,4.65
deepseek-v4-flash,s6,ref,confOf-ekaw,turn1,article_scenarios/outputs/turn1/s6/confOf-ekaw/confOf-ekaw_ref_15000c_p1000_deepseek_deepseek-v4-flash/run.log,20,1,0,1,0,0,5.0
deepseek-v4-flash,s6,ref,confOf-ekaw,turn2,article_scenarios/outputs/turn2/s6/confOf-ekaw/confOf-ekaw_ref_15000c_p1000_deepseek_deepseek-v4-flash/run.log,20,1,0,1,0,0,5.0
