model,scenario,input,dataset,turn,source_log,total_environments,real_failures,degenerate_empty_input,parse_fail,empty_graph_total,other_error,real_error_rate_pct
gpt-oss-20b,s2,aml,confOf-ekaw,turn1,scenarios/outputs/turn1/confOf-ekaw-s2/confOf-ekaw-s2_aml_15k_p24/run.log,16,0,0,0,0,0,0.0
gpt-oss-20b,s2,aml,confOf-ekaw,turn2,scenarios/outputs/turn2/confOf-ekaw-s2/confOf-ekaw-s2_aml_15k_p24/run.log,16,0,0,0,0,0,0.0
gpt-oss-20b,s2,aml,confOf-ekaw,turn3,scenarios/outputs/turn3/confOf-ekaw-s2/confOf-ekaw-s2_aml_15k_p24/run.log,16,0,0,0,0,0,0.0
gpt-oss-20b,s2,aml,confOf-ekaw,turn4,scenarios/outputs/turn4/confOf-ekaw-s2/confOf-ekaw-s2_aml_15k_p24/run.log,16,0,0,0,0,0,0.0
gpt-oss-20b,s2,aml,confOf-ekaw,turn5,scenarios/outputs/turn5/confOf-ekaw-s2/confOf-ekaw-s2_aml_15k_p24/run.log,16,0,0,0,0,0,0.0
gpt-oss-20b,s2,aml,human-mouse,turn1,scenarios/outputs/turn1/human-mouse-s2/human-mouse-s2_aml_15k_p24/run.log,1396,1,0,0,1,0,0.07
gpt-oss-20b,s2,aml,human-mouse,turn2,scenarios/outputs/turn2/human-mouse-s2/human-mouse-s2_aml_15k_p24/run.log,1396,1,0,1,0,0,0.07
gpt-oss-20b,s2,aml,human-mouse,turn3,scenarios/outputs/turn3/human-mouse-s2/human-mouse-s2_aml_15k_p24/run.log,1396,1,0,1,0,0,0.07
gpt-oss-20b,s2,aml,human-mouse,turn4,scenarios/outputs/turn4/human-mouse-s2/human-mouse-s2_aml_15k_p24/run.log,1396,0,0,0,0,0,0.0
gpt-oss-20b,s2,aml,human-mouse,turn5,scenarios/outputs/turn5/human-mouse-s2/human-mouse-s2_aml_15k_p24/run.log,1396,0,0,0,0,0,0.0
gpt-oss-20b,s2,aml,swo-acm,turn1,article_scenarios/outputs/turn1/s2/swo-acm/swo-acm_aml_15k_p24/run.log,43,0,0,0,0,0,0.0
gpt-oss-20b,s2,aml,swo-acm,turn2,article_scenarios/outputs/turn2/s2/swo-acm/swo-acm_aml_15k_p24/run.log,43,0,0,0,0,0,0.0
gpt-oss-20b,s2,aml,swo-acm,turn3,article_scenarios/outputs/turn3/s2/swo-acm/swo-acm_aml_15k_p24/run.log,43,0,0,0,0,0,0.0
gpt-oss-20b,s2,aml,swo-acm,turn4,article_scenarios/outputs/turn4/s2/swo-acm/swo-acm_aml_15k_p24/run.log,43,0,0,0,0,0,0.0
gpt-oss-20b,s2,aml,swo-acm,turn5,article_scenarios/outputs/turn5/s2/swo-acm/swo-acm_aml_15k_p24/run.log,43,0,0,0,0,0,0.0
gpt-oss-20b,s3,ref,confOf-ekaw,turn1,scenarios/outputs/turn1/confOf-ekaw-s3/confOf-ekaw-s3_ref_15k_p24/run.log,20,0,0,0,0,0,0.0
gpt-oss-20b,s3,ref,confOf-ekaw,turn2,scenarios/outputs/turn2/confOf-ekaw-s3/confOf-ekaw-s3_ref_15k_p24/run.log,20,0,0,0,0,0,0.0
gpt-oss-20b,s3,ref,confOf-ekaw,turn3,scenarios/outputs/turn3/confOf-ekaw-s3/confOf-ekaw-s3_ref_15k_p24/run.log,20,0,0,0,0,0,0.0
gpt-oss-20b,s3,ref,confOf-ekaw,turn4,scenarios/outputs/turn4/confOf-ekaw-s3/confOf-ekaw-s3_ref_15k_p24/run.log,20,0,0,0,0,0,0.0
gpt-oss-20b,s3,ref,confOf-ekaw,turn5,scenarios/outputs/turn5/confOf-ekaw-s3/confOf-ekaw-s3_ref_15k_p24/run.log,20,0,0,0,0,0,0.0
gpt-oss-20b,s3,ref,human-mouse,turn1,scenarios/outputs/turn1/human-mouse-s3/human-mouse-s3_ref_15k_p24/run.log,1516,0,0,0,0,0,0.0
gpt-oss-20b,s3,ref,human-mouse,turn2,scenarios/outputs/turn2/human-mouse-s3/human-mouse-s3_ref_15k_p24/run.log,1516,2,0,1,1,0,0.13
gpt-oss-20b,s3,ref,human-mouse,turn3,scenarios/outputs/turn3/human-mouse-s3/human-mouse-s3_ref_15k_p24/run.log,1516,0,0,0,0,0,0.0
gpt-oss-20b,s3,ref,human-mouse,turn4,scenarios/outputs/turn4/human-mouse-s3/human-mouse-s3_ref_15k_p24/run.log,1516,1,0,1,0,0,0.07
gpt-oss-20b,s3,ref,human-mouse,turn5,scenarios/outputs/turn5/human-mouse-s3/human-mouse-s3_ref_15k_p24/run.log,1516,0,0,0,0,0,0.0
gpt-oss-20b,s3,ref,swo-acm,turn1,article_scenarios/outputs/turn1/s3/swo-acm/swo-acm_ref_15k_p24/run.log,30,1,0,0,1,0,3.33
gpt-oss-20b,s3,ref,swo-acm,turn2,article_scenarios/outputs/turn2/s3/swo-acm/swo-acm_ref_15k_p24/run.log,30,0,0,0,0,0,0.0
gpt-oss-20b,s3,ref,swo-acm,turn3,article_scenarios/outputs/turn3/s3/swo-acm/swo-acm_ref_15k_p24/run.log,30,0,0,0,0,0,0.0
gpt-oss-20b,s3,ref,swo-acm,turn4,article_scenarios/outputs/turn4/s3/swo-acm/swo-acm_ref_15k_p24/run.log,30,1,0,0,1,0,3.33
gpt-oss-20b,s3,ref,swo-acm,turn5,article_scenarios/outputs/turn5/s3/swo-acm/swo-acm_ref_15k_p24/run.log,30,0,0,0,0,0,0.0
