"# section: metrics (per scenario, per metric, per graph)"
section,scenario,metric,graph,value,suspected
metrics,confOf-ekaw-s2_aml_15k_p24,ARC,union_input,13.0,
metrics,confOf-ekaw-s2_aml_15k_p24,cycle_count,union_input,0.0,
metrics,confOf-ekaw-s2_aml_15k_p24,syntactic_uniqueness_ratio,union_input,0.9279,
metrics,confOf-ekaw-s2_aml_15k_p24,cross_onto_subclassof_count,union_input,0.0,
metrics,confOf-ekaw-s2_aml_15k_p24,new_cross_onto_relations_count,union_input,0.0,
metrics,confOf-ekaw-s2_aml_15k_p24,cross_onto_relations_count,union_input,0.0,
metrics,confOf-ekaw-s2_aml_15k_p24,corc_per_applied_alignment,union_input,0.0,
metrics,confOf-ekaw-s2_aml_15k_p24,new_intra_onto_relations_count,union_input,0.0,
metrics,confOf-ekaw-s2_aml_15k_p24,triple_count_delta,union_input,0.0,
metrics,confOf-ekaw-s2_aml_15k_p24,connectivity_ratio,union_input,0.8829,
metrics,confOf-ekaw-s2_aml_15k_p24,triple_preservation_ratio,union_input,1.0,
metrics,confOf-ekaw-s2_aml_15k_p24,annotation_coverage_ratio,union_input,0.3111,
metrics,confOf-ekaw-s2_aml_15k_p24,comment_coverage_ratio,union_input,0.3111,
metrics,confOf-ekaw-s2_aml_15k_p24,multi_domain_range_count,union_input,0.0,
metrics,confOf-ekaw-s2_aml_15k_p24,multi_domain_range_change_per_alignment,union_input,0.0,
metrics,confOf-ekaw-s2_aml_15k_p24,structural_redundancy,union_input,0.0,
metrics,confOf-ekaw-s2_aml_15k_p24,ALC,union_input,80.0,
metrics,confOf-ekaw-s2_aml_15k_p24,average_depth,union_input,1.8878,
metrics,confOf-ekaw-s2_aml_15k_p24,max_depth,union_input,5.0,
metrics,confOf-ekaw-s2_aml_15k_p24,average_breadth,union_input,3.2903,
metrics,confOf-ekaw-s2_aml_15k_p24,max_breadth,union_input,9.0,
metrics,confOf-ekaw-s2_aml_15k_p24,unsatisfiable_classes,union_input,,
metrics,confOf-ekaw-s2_aml_15k_p24,applied_alignments,union_input,0.0,
metrics,confOf-ekaw-s2_aml_15k_p24,ARC,merged_ontology,7.0,
metrics,confOf-ekaw-s2_aml_15k_p24,cycle_count,merged_ontology,1.0,
metrics,confOf-ekaw-s2_aml_15k_p24,syntactic_uniqueness_ratio,merged_ontology,0.9714,
metrics,confOf-ekaw-s2_aml_15k_p24,cross_onto_subclassof_count,merged_ontology,27.0,
metrics,confOf-ekaw-s2_aml_15k_p24,new_cross_onto_relations_count,merged_ontology,10.0,
metrics,confOf-ekaw-s2_aml_15k_p24,cross_onto_relations_count,merged_ontology,38.0,
metrics,confOf-ekaw-s2_aml_15k_p24,corc_per_applied_alignment,merged_ontology,2.9231,
metrics,confOf-ekaw-s2_aml_15k_p24,new_intra_onto_relations_count,merged_ontology,16.0,
metrics,confOf-ekaw-s2_aml_15k_p24,triple_count_delta,merged_ontology,325.0,
